Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Passed
S00002,0.44999999999999996,0.6662613981762917,0.2728221178925404,No,No
S00004,0.6476190476190476,0.5537993920972644,0.2822117892540428,Yes,No
S00005,0.43809523809523804,0.6297872340425532,0.33594157537819513,No,No
S00006,0.43809523809523804,0.5355623100303951,0.31820552947313513,Yes,Yes
S00007,0.6547619047619048,0.32158054711246203,0.4449660928534168,No,Yes
S00008,0.5571428571428572,0.6693009118541033,0.2655190401669275,Yes,No
S00009,0.41190476190476194,0.6954407294832826,0.4360980699008869,No,Yes
S00011,0.41190476190476194,0.4158054711246201,0.3338549817423057,No,No
S00012,0.41190476190476194,0.7890577507598785,0.17162232655190407,Yes,No
S00015,0.2619047619047619,0.4911854103343465,0.21335419926969226,No,Yes
S00016,0.4,0.417629179331307,0.24830464267083985,Yes,No
S00017,0.34523809523809523,0.5191489361702127,0.46791862284820035,Yes,No
S00018,0.5047619047619047,0.6613981762917933,0.2269170579029734,No,Yes
S00019,0.3595238095238095,0.541033434650456,0.16953573291601462,No,No
S00020,0.2976190476190476,0.6170212765957447,0.3343766301512781,No,Yes
S00021,0.6404761904761904,0.7574468085106383,0.3145539906103286,No,Yes
S00022,0.44047619047619047,0.4723404255319149,0.4689619196661451,No,No
S00023,0.4738095238095238,0.5799392097264437,0.2926447574334899,No,No
S00024,0.2976190476190476,0.6650455927051672,0.11684924360980699,No,Yes
S00025,0.40238095238095234,0.4291793313069909,0.26238914971309335,Yes,Yes
S00028,0.5119047619047619,0.5015197568389058,0.2519561815336463,Yes,No
S00029,0.3952380952380953,0.6729483282674772,0.2842983828899322,Yes,No
S00030,0.430952380952381,0.5258358662613982,0.29107981220657275,No,Yes
S00031,0.3952380952380953,0.7617021276595745,0.18779342723004697,No,Yes
S00032,0.6880952380952381,0.3428571428571429,0.34324465310380803,Yes,Yes
S00033,0.4642857142857143,0.5507598784194528,0.42357850808555036,No,No
S00034,0.3404761904761905,0.3629179331306991,0.3176838810641628,No,Yes
S00035,0.5642857142857143,0.45775075987841946,0.3823682837767345,No,Yes
S00036,0.32142857142857145,0.4571428571428572,0.3098591549295775,Yes,No
S00037,0.4904761904761905,0.5106382978723404,0.2138758476786646,Yes,Yes
S00038,0.2333333333333333,0.3981762917933131,0.3171622326551904,No,Yes
S00039,0.30952380952380953,0.5343465045592705,0.25665101721439754,Yes,Yes
S00040,0.4904761904761905,0.5987841945288754,0.2091810119979134,No,Yes
S00042,0.4880952380952381,0.4656534954407294,0.35993740219092335,Yes,Yes
S00043,0.4523809523809524,0.8516717325227963,0.26917057902973396,Yes,No
S00044,0.430952380952381,0.5829787234042553,0.4475743348982786,Yes,No
S00045,0.29047619047619044,0.32158054711246203,0.3703703703703704,No,Yes
S00046,0.38095238095238093,0.37264437689969604,0.25299947835159103,No,No
S00047,0.41190476190476194,0.5702127659574467,0.25039123630672927,No,No
S00048,0.5928571428571429,0.555015197568389,0.46374543557642156,Yes,Yes
S00050,0.2571428571428571,0.809726443768997,0.3244653103808034,No,Yes
S00051,0.5047619047619047,0.8613981762917934,0.3286384976525822,Yes,Yes
S00052,0.42142857142857143,0.5106382978723404,0.16066770996348462,No,No
S00053,0.3857142857142857,0.6492401215805471,0.1617110067814293,Yes,Yes
S00056,0.5785714285714285,0.46504559270516715,0.2968179447052687,No,Yes
S00057,0.36666666666666664,0.7787234042553192,0.1773604590505999,Yes,Yes
S00058,0.430952380952381,0.5343465045592705,0.27021387584767864,Yes,No
S00059,0.5071428571428571,0.5939209726443769,0.31246739697443926,No,Yes
S00060,0.5833333333333334,0.5428571428571428,0.13458528951486698,No,No
S00061,0.4095238095238095,0.5258358662613982,0.2999478351591028,No,Yes
S00062,0.4452380952380952,0.5768996960486321,0.30412102243088157,No,No
S00063,0.3357142857142857,0.39878419452887537,0.2592592592592593,Yes,Yes
S00064,0.3238095238095238,0.30334346504559273,0.2097026604068858,Yes,Yes
S00065,0.5642857142857143,0.5167173252279635,0.2665623369848722,Yes,No
S00066,0.6285714285714286,0.4358662613981763,0.2665623369848722,No,Yes
S00067,0.45714285714285713,0.609726443768997,0.44653103808033395,No,No
S00068,0.5857142857142857,0.5957446808510638,0.2863849765258216,Yes,Yes
S00069,0.5095238095238095,0.5446808510638298,0.2592592592592593,No,No
S00070,0.3904761904761904,0.7227963525835865,0.2863849765258216,No,No
S00072,0.6499999999999999,0.3653495440729483,0.3260302556077204,Yes,Yes
S00073,0.4619047619047619,0.5155015197568389,0.3307250912884716,Yes,No
S00074,0.6523809523809524,0.6851063829787234,0.34272300469483574,No,Yes
S00075,0.15476190476190477,0.31367781155015195,0.1815336463223787,No,Yes
S00076,0.5642857142857143,0.5313069908814589,0.33594157537819513,No,Yes
S00077,0.47619047619047616,0.6127659574468085,0.31038080333854984,No,Yes
S00078,0.430952380952381,0.8650455927051672,0.2472613458528952,Yes,Yes
S00079,0.4785714285714286,0.6899696048632219,0.30412102243088157,No,Yes
S00080,0.23095238095238094,0.5592705167173252,0.2874282733437663,No,Yes
S00081,0.44047619047619047,0.6060790273556231,0.2942097026604069,No,Yes
S00082,0.5095238095238095,0.31185410334346503,0.3093375065206051,No,Yes
S00085,0.37142857142857144,0.5623100303951368,0.34689619196661453,No,Yes
S00086,0.4071428571428572,0.5781155015197568,0.315075639019301,No,Yes
S00087,0.5761904761904761,0.547112462006079,0.2389149713093375,Yes,No
S00088,0.5047619047619047,0.5422492401215806,0.22848200312989045,Yes,No
S00089,0.40476190476190477,0.5556231003039513,0.3098591549295775,Yes,Yes
S00090,0.5285714285714286,0.4145896656534955,0.35837245696400627,No,No
S00091,0.4785714285714286,0.5148936170212766,0.39801773604590507,Yes,No
S00093,0.38333333333333336,0.46747720364741646,0.33594157537819513,Yes,Yes
S00094,0.42857142857142855,0.6881458966565349,0.09702660406885759,No,Yes
S00097,0.5023809523809524,0.556838905775076,0.24256651017214398,No,Yes
S00098,0.49761904761904757,0.49604863221884493,1.0,Yes,Yes
S00099,0.4666666666666667,0.4200607902735562,0.21283255086071987,Yes,Yes
S00100,0.43809523809523804,0.49422492401215806,0.4340114762649974,No,No
S00102,0.4166666666666667,0.6133738601823707,0.27908189880020867,No,No
S00104,0.37142857142857144,0.6218844984802432,0.22796035472091813,No,No
S00105,0.4476190476190475,0.35805471124620064,0.32811684924360984,Yes,Yes
S00106,0.5142857142857143,0.6480243161094225,0.35993740219092335,Yes,Yes
S00107,0.6904761904761905,0.4054711246200608,0.20344287949921755,Yes,Yes
S00108,0.4880952380952381,0.662613981762918,0.2999478351591028,Yes,Yes
S00110,0.45714285714285713,0.31550151975683893,0.260302556077204,Yes,Yes
S00112,0.4642857142857143,0.6638297872340426,0.3823682837767345,Yes,No
S00113,0.4738095238095238,0.6960486322188449,0.21491914449660932,No,Yes
S00114,0.7595238095238095,0.44924012158054716,0.1940532081377152,Yes,No
S00115,0.4428571428571429,0.5647416413373859,0.38184663536776214,Yes,Yes
S00116,0.5023809523809524,0.627355623100304,0.3114241001564946,No,Yes
S00118,0.32857142857142857,0.5927051671732523,0.2895148669796557,No,Yes
S00120,0.5571428571428572,0.6632218844984802,0.4121022430881586,Yes,Yes
S00121,0.5619047619047619,0.6638297872340426,0.27699530516431925,No,Yes
S00122,0.3595238095238095,0.5240121580547112,0.3375065206051122,No,Yes
S00123,0.6333333333333334,0.4474164133738601,0.2942097026604069,Yes,No
S00125,0.5357142857142857,0.7088145896656535,0.31194574856546686,No,Yes
S00126,0.7285714285714286,0.6583586626139818,0.3865414710485134,Yes,No
S00128,0.4,0.5185410334346504,0.2524778299426187,No,Yes
S00129,0.4785714285714286,0.32765957446808514,0.295774647887324,Yes,Yes
S00130,0.4071428571428572,0.5325227963525836,0.27908189880020867,No,Yes
S00131,0.28095238095238095,0.3981762917933131,0.2509128847157016,Yes,No
S00132,0.4738095238095238,0.5623100303951368,0.21126760563380284,No,No
S00133,0.3404761904761905,0.6869300911854104,0.40219092331768397,No,Yes
S00134,0.5238095238095238,0.4237082066869301,0.13458528951486698,No,No
S00135,0.35714285714285715,0.5720364741641337,0.4001043296817945,No,No
S00136,0.6499999999999999,0.6644376899696048,0.19092331768388104,Yes,Yes
S00137,0.3738095238095238,0.5696048632218845,0.3380281690140845,No,Yes
S00138,0.42857142857142855,0.4790273556231003,0.24986958789775696,Yes,Yes
S00139,0.5642857142857143,0.5440729483282675,0.1653625456442358,No,Yes
S00140,0.319047619047619,0.658966565349544,0.38549817423056865,No,Yes
S00141,0.4928571428571428,0.5750759878419452,0.107981220657277,Yes,Yes
S00142,0.6214285714285714,0.5422492401215806,0.357850808555034,No,No
