Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Passed,Cluster
S00002,0.4499999999999999,0.6662613981762917,0.2728221178925404,0,No,0
S00004,0.6476190476190476,0.5537993920972644,0.2822117892540428,1,No,1
S00005,0.438095238095238,0.6297872340425532,0.3359415753781951,0,No,0
S00006,0.438095238095238,0.5355623100303951,0.3182055294731351,1,Yes,1
S00007,0.6547619047619048,0.321580547112462,0.4449660928534168,0,Yes,0
S00008,0.5571428571428572,0.6693009118541033,0.2655190401669275,1,No,1
S00009,0.4119047619047619,0.6954407294832826,0.4360980699008869,0,Yes,0
S00011,0.4119047619047619,0.4158054711246201,0.3338549817423057,0,No,0
S00012,0.4119047619047619,0.7890577507598785,0.171622326551904,1,No,1
S00015,0.2619047619047619,0.4911854103343465,0.2133541992696922,0,Yes,0
S00016,0.4,0.417629179331307,0.2483046426708398,1,No,1
S00017,0.3452380952380952,0.5191489361702127,0.4679186228482003,1,No,1
S00018,0.5047619047619047,0.6613981762917933,0.2269170579029734,0,Yes,0
S00019,0.3595238095238095,0.541033434650456,0.1695357329160146,0,No,0
S00020,0.2976190476190476,0.6170212765957447,0.3343766301512781,0,Yes,0
S00021,0.6404761904761904,0.7574468085106383,0.3145539906103286,0,Yes,0
S00022,0.4404761904761904,0.4723404255319149,0.4689619196661451,0,No,0
S00023,0.4738095238095238,0.5799392097264437,0.2926447574334899,0,No,0
S00024,0.2976190476190476,0.6650455927051672,0.1168492436098069,0,Yes,0
S00025,0.4023809523809523,0.4291793313069909,0.2623891497130933,1,Yes,1
S00028,0.5119047619047619,0.5015197568389058,0.2519561815336463,1,No,1
S00029,0.3952380952380953,0.6729483282674772,0.2842983828899322,1,No,1
S00030,0.430952380952381,0.5258358662613982,0.2910798122065727,0,Yes,0
S00031,0.3952380952380953,0.7617021276595745,0.1877934272300469,0,Yes,0
S00032,0.6880952380952381,0.3428571428571429,0.343244653103808,1,Yes,1
S00033,0.4642857142857143,0.5507598784194528,0.4235785080855503,0,No,0
S00034,0.3404761904761905,0.3629179331306991,0.3176838810641628,0,Yes,0
S00035,0.5642857142857143,0.4577507598784194,0.3823682837767345,0,Yes,0
S00036,0.3214285714285714,0.4571428571428572,0.3098591549295775,1,No,1
S00037,0.4904761904761905,0.5106382978723404,0.2138758476786646,1,Yes,1
S00038,0.2333333333333333,0.3981762917933131,0.3171622326551904,0,Yes,0
S00039,0.3095238095238095,0.5343465045592705,0.2566510172143975,1,Yes,1
S00040,0.4904761904761905,0.5987841945288754,0.2091810119979134,0,Yes,0
S00042,0.4880952380952381,0.4656534954407294,0.3599374021909233,1,Yes,1
S00043,0.4523809523809524,0.8516717325227963,0.2691705790297339,1,No,1
S00044,0.430952380952381,0.5829787234042553,0.4475743348982786,1,No,1
S00045,0.2904761904761904,0.321580547112462,0.3703703703703704,0,Yes,0
S00046,0.3809523809523809,0.372644376899696,0.252999478351591,0,No,0
S00047,0.4119047619047619,0.5702127659574467,0.2503912363067292,0,No,0
S00048,0.5928571428571429,0.555015197568389,0.4637454355764215,1,Yes,1
S00050,0.2571428571428571,0.809726443768997,0.3244653103808034,0,Yes,0
S00051,0.5047619047619047,0.8613981762917934,0.3286384976525822,1,Yes,1
S00052,0.4214285714285714,0.5106382978723404,0.1606677099634846,0,No,0
S00053,0.3857142857142857,0.6492401215805471,0.1617110067814293,1,Yes,1
S00056,0.5785714285714285,0.4650455927051671,0.2968179447052687,0,Yes,0
S00057,0.3666666666666666,0.7787234042553192,0.1773604590505999,1,Yes,1
S00058,0.430952380952381,0.5343465045592705,0.2702138758476786,1,No,1
S00059,0.5071428571428571,0.5939209726443769,0.3124673969744392,0,Yes,0
S00060,0.5833333333333334,0.5428571428571428,0.1345852895148669,0,No,0
S00061,0.4095238095238095,0.5258358662613982,0.2999478351591028,0,Yes,0
S00062,0.4452380952380952,0.5768996960486321,0.3041210224308815,0,No,0
S00063,0.3357142857142857,0.3987841945288753,0.2592592592592593,1,Yes,1
S00064,0.3238095238095238,0.3033434650455927,0.2097026604068858,1,Yes,1
S00065,0.5642857142857143,0.5167173252279635,0.2665623369848722,1,No,1
S00066,0.6285714285714286,0.4358662613981763,0.2665623369848722,0,Yes,0
S00067,0.4571428571428571,0.609726443768997,0.4465310380803339,0,No,0
S00068,0.5857142857142857,0.5957446808510638,0.2863849765258216,1,Yes,1
S00069,0.5095238095238095,0.5446808510638298,0.2592592592592593,0,No,0
S00070,0.3904761904761904,0.7227963525835865,0.2863849765258216,0,No,0
S00072,0.6499999999999999,0.3653495440729483,0.3260302556077204,1,Yes,1
S00073,0.4619047619047619,0.5155015197568389,0.3307250912884716,1,No,1
S00074,0.6523809523809524,0.6851063829787234,0.3427230046948357,0,Yes,0
S00075,0.1547619047619047,0.3136778115501519,0.1815336463223787,0,Yes,0
S00076,0.5642857142857143,0.5313069908814589,0.3359415753781951,0,Yes,0
S00077,0.4761904761904761,0.6127659574468085,0.3103808033385498,0,Yes,0
S00078,0.430952380952381,0.8650455927051672,0.2472613458528952,1,Yes,1
S00079,0.4785714285714286,0.6899696048632219,0.3041210224308815,0,Yes,0
S00080,0.2309523809523809,0.5592705167173252,0.2874282733437663,0,Yes,0
S00081,0.4404761904761904,0.6060790273556231,0.2942097026604069,0,Yes,0
S00082,0.5095238095238095,0.311854103343465,0.3093375065206051,0,Yes,0
S00085,0.3714285714285714,0.5623100303951368,0.3468961919666145,0,Yes,0
S00086,0.4071428571428572,0.5781155015197568,0.315075639019301,0,Yes,0
S00087,0.5761904761904761,0.547112462006079,0.2389149713093375,1,No,1
S00088,0.5047619047619047,0.5422492401215806,0.2284820031298904,1,No,1
S00089,0.4047619047619047,0.5556231003039513,0.3098591549295775,1,Yes,1
S00090,0.5285714285714286,0.4145896656534955,0.3583724569640062,0,No,0
S00091,0.4785714285714286,0.5148936170212766,0.398017736045905,1,No,1
S00093,0.3833333333333333,0.4674772036474164,0.3359415753781951,1,Yes,1
S00094,0.4285714285714285,0.6881458966565349,0.0970266040688575,0,Yes,0
S00097,0.5023809523809524,0.556838905775076,0.2425665101721439,0,Yes,0
S00098,0.4976190476190475,0.4960486322188449,1.0,1,Yes,1
S00099,0.4666666666666667,0.4200607902735562,0.2128325508607198,1,Yes,1
S00100,0.438095238095238,0.494224924012158,0.4340114762649974,0,No,0
S00102,0.4166666666666667,0.6133738601823707,0.2790818988002086,0,No,0
S00104,0.3714285714285714,0.6218844984802432,0.2279603547209181,0,No,0
S00105,0.4476190476190475,0.3580547112462006,0.3281168492436098,1,Yes,1
S00106,0.5142857142857143,0.6480243161094225,0.3599374021909233,1,Yes,1
S00107,0.6904761904761905,0.4054711246200608,0.2034428794992175,1,Yes,1
S00108,0.4880952380952381,0.662613981762918,0.2999478351591028,1,Yes,1
S00110,0.4571428571428571,0.3155015197568389,0.260302556077204,1,Yes,1
S00112,0.4642857142857143,0.6638297872340426,0.3823682837767345,1,No,1
S00113,0.4738095238095238,0.6960486322188449,0.2149191444966093,0,Yes,0
S00114,0.7595238095238095,0.4492401215805471,0.1940532081377152,1,No,1
S00115,0.4428571428571429,0.5647416413373859,0.3818466353677621,1,Yes,1
S00116,0.5023809523809524,0.627355623100304,0.3114241001564946,0,Yes,0
S00118,0.3285714285714285,0.5927051671732523,0.2895148669796557,0,Yes,0
S00120,0.5571428571428572,0.6632218844984802,0.4121022430881586,1,Yes,1
S00121,0.5619047619047619,0.6638297872340426,0.2769953051643192,0,Yes,0
S00122,0.3595238095238095,0.5240121580547112,0.3375065206051122,0,Yes,0
S00123,0.6333333333333334,0.4474164133738601,0.2942097026604069,1,No,1
S00125,0.5357142857142857,0.7088145896656535,0.3119457485654668,0,Yes,0
S00126,0.7285714285714286,0.6583586626139818,0.3865414710485134,1,No,1
S00128,0.4,0.5185410334346504,0.2524778299426187,0,Yes,0
S00129,0.4785714285714286,0.3276595744680851,0.295774647887324,1,Yes,1
S00130,0.4071428571428572,0.5325227963525836,0.2790818988002086,0,Yes,0
S00131,0.2809523809523809,0.3981762917933131,0.2509128847157016,1,No,1
S00132,0.4738095238095238,0.5623100303951368,0.2112676056338028,0,No,0
S00133,0.3404761904761905,0.6869300911854104,0.4021909233176839,0,Yes,0
S00134,0.5238095238095238,0.4237082066869301,0.1345852895148669,0,No,0
S00135,0.3571428571428571,0.5720364741641337,0.4001043296817945,0,No,0
S00136,0.6499999999999999,0.6644376899696048,0.190923317683881,1,Yes,1
S00137,0.3738095238095238,0.5696048632218845,0.3380281690140845,0,Yes,0
S00138,0.4285714285714285,0.4790273556231003,0.2498695878977569,1,Yes,1
S00139,0.5642857142857143,0.5440729483282675,0.1653625456442358,0,Yes,0
S00140,0.319047619047619,0.658966565349544,0.3854981742305686,0,Yes,0
S00141,0.4928571428571428,0.5750759878419452,0.107981220657277,1,Yes,1
S00142,0.6214285714285714,0.5422492401215806,0.357850808555034,0,No,0
S00144,0.4880952380952381,0.6054711246200608,0.3781950965049557,0,Yes,0
S00145,0.4976190476190475,0.3963525835866262,0.3448095983307251,1,Yes,1
S00146,0.5595238095238095,0.6194528875379939,0.3437663015127804,1,No,1
S00147,0.319047619047619,0.6583586626139818,0.3661971830985915,0,Yes,0
S00150,0.5023809523809524,0.4164133738601823,0.2696922274387063,0,No,0
S00151,0.4976190476190475,0.5306990881458966,0.2780386019822639,1,Yes,1
S00152,0.5071428571428571,0.6656534954407295,0.3041210224308815,0,Yes,0
S00154,0.4952380952380951,0.6103343465045592,0.4668753260302556,0,Yes,0
S00155,0.5023809523809524,0.1914893617021276,0.2889932185706834,1,No,1
S00156,0.3809523809523809,0.5647416413373859,0.2060511215440793,0,No,0
S00157,0.6880952380952381,0.4936170212765957,0.2863849765258216,1,No,1
S00158,0.5238095238095238,0.7981762917933132,0.2300469483568075,0,No,0
S00159,0.3238095238095238,0.3130699088145897,0.4491392801251957,1,Yes,1
S00161,0.35,0.311854103343465,0.3453312467396975,0,No,0
S00162,0.5595238095238095,0.4759878419452887,0.3359415753781951,0,Yes,0
S00163,0.6047619047619047,0.3361702127659574,0.369848721961398,0,Yes,0
S00164,0.369047619047619,0.8224924012158056,0.3145539906103286,1,No,1
S00166,0.5166666666666666,0.5173252279635258,0.2994261867501304,0,No,0
S00167,0.5642857142857143,0.537386018237082,0.199791340636411,0,No,0
S00169,0.438095238095238,0.6711246200607902,0.4360980699008869,0,No,0
S00170,0.3761904761904762,0.6206686930091185,0.3531559728742827,0,No,0
S00171,0.3619047619047619,0.6547112462006079,0.2874282733437663,0,No,0
S00173,0.4571428571428571,0.6808510638297872,0.2483046426708398,0,No,0
S00174,0.5071428571428571,0.6668693009118541,0.3223787167449139,0,Yes,0
